,Date,ET (mm/day)
273,29/09/2020,10.46793995
274,30/09/2020,11.05886748
275,01/10/2020,12.22801212
276,02/10/2020,11.28270698
277,03/10/2020,13.0929059
278,04/10/2020,13.46053721
279,05/10/2020,13.18776404
280,06/10/2020,13.87290629
281,07/10/2020,13.49024495
282,08/10/2020,13.4021091
283,09/10/2020,12.89050126
284,10/10/2020,12.47667617
285,11/10/2020,13.05723548
286,12/10/2020,13.02665175
287,13/10/2020,11.95544669
288,14/10/2020,12.50423981
289,15/10/2020,10.37805066
290,16/10/2020,10.69545554
291,17/10/2020,11.6560695
292,18/10/2020,12.522021
293,19/10/2020,11.36201465
294,20/10/2020,11.48674634
295,21/10/2020,12.86324094
296,22/10/2020,13.26926538
297,23/10/2020,12.79888843
298,24/10/2020,12.18597246
299,25/10/2020,11.4493799
300,26/10/2020,11.01203911
301,27/10/2020,10.95074772
302,28/10/2020,10.71742811
303,29/10/2020,11.25181151
304,30/10/2020,9.871325857
305,31/10/2020,11.48103369
306,01/11/2020,11.25750905
307,02/11/2020,11.35853396
308,03/11/2020,9.84062996
309,04/11/2020,9.448667321
310,05/11/2020,9.607268771
311,06/11/2020,11.44449968
312,07/11/2020,12.32461535
313,08/11/2020,9.69378258
314,09/11/2020,9.517344226
315,10/11/2020,7.15473163
316,11/11/2020,7.343774908
317,12/11/2020,9.137137931
318,13/11/2020,9.043656531
319,14/11/2020,8.675316993
320,15/11/2020,8.259284808
321,16/11/2020,6.172411737
322,17/11/2020,7.626518677
323,18/11/2020,7.289348174
324,19/11/2020,7.834451951
325,20/11/2020,7.818437341
326,21/11/2020,8.42015916
327,22/11/2020,8.999263673
328,23/11/2020,9.359166866
329,24/11/2020,9.576741519
330,25/11/2020,9.752485845
331,26/11/2020,9.814760665
332,27/11/2020,10.11590615
333,28/11/2020,8.775044877
334,29/11/2020,8.329384554
335,30/11/2020,8.842001983
336,01/12/2020,6.631074257
337,02/12/2020,7.594930119
338,03/12/2020,7.146782151
339,04/12/2020,8.012304357
340,05/12/2020,8.583586701
341,06/12/2020,9.370794821
342,07/12/2020,10.24152407
343,08/12/2020,10.19731676
344,09/12/2020,9.222761501
345,10/12/2020,9.901365069
346,11/12/2020,10.18169236
347,12/12/2020,9.612303336
348,13/12/2020,10.11448308
349,14/12/2020,10.47155108
350,15/12/2020,10.85713431
351,16/12/2020,10.89579328
352,17/12/2020,10.002496
353,18/12/2020,9.055088699
354,19/12/2020,8.260347154
355,20/12/2020,9.239081593
356,21/12/2020,9.743078219
357,22/12/2020,10.59194716
358,23/12/2020,10.32594825
359,24/12/2020,10.04580328
360,25/12/2020,8.871386927
361,26/12/2020,7.025351774
362,27/12/2020,7.852638231
363,28/12/2020,10.56930954
364,29/12/2020,10.21193556
365,30/12/2020,8.352225392
366,31/12/2020,1.443466979
