;Date;ET;(mm/day);2020;1995;2050
116;25/04/2020;5.63;;3.95;3.95;4.35
117;26/04/2020;6.91;;4.85;4.85;5.34
118;27/04/2020;6.66;;4.68;4.68;5.14
119;28/04/2020;4.89;;3.43;3.43;3.78
120;29/04/2020;6.01;;4.22;4.22;4.64
121;30/04/2020;6.13;;4.30;4.30;4.73
122;01/05/2020;6.08;;4.27;4.27;4.70
123;02/05/2020;6.57;;4.61;4.61;5.07
124;03/05/2020;6.19;;4.34;4.34;4.78
125;04/05/2020;6.72;;4.72;4.72;5.19
126;05/05/2020;6.17;;4.33;4.33;4.77
127;06/05/2020;4.78;;3.36;3.36;3.69
128;07/05/2020;6.61;;4.64;4.64;5.11
129;08/05/2020;6.08;;4.27;4.27;4.70
130;09/05/2020;6.11;;4.29;4.29;4.72
131;10/05/2020;6.66;;4.67;4.67;5.14
132;11/05/2020;5.81;;4.08;4.08;4.49
133;12/05/2020;5.63;;3.95;3.95;4.35
134;13/05/2020;6.63;;4.66;4.66;5.12
135;14/05/2020;6.21;;4.36;4.36;4.80
136;15/05/2020;6.14;;4.31;4.31;4.74
137;16/05/2020;7.17;;5.03;5.03;5.53
138;17/05/2020;6.90;;4.85;4.85;5.33
139;18/05/2020;7.77;;5.45;5.45;6.00
140;19/05/2020;6.21;;4.36;4.36;4.80
141;20/05/2020;6.10;;4.28;4.28;4.71
142;21/05/2020;6.21;;4.36;4.36;4.79
143;22/05/2020;7.55;;5.30;5.30;5.83
144;23/05/2020;6.61;;4.64;4.64;5.11
145;24/05/2020;6.90;;4.84;4.84;5.33
146;25/05/2020;6.50;;4.56;4.56;5.02
147;26/05/2020;6.45;;4.53;4.53;4.98
148;27/05/2020;7.49;;5.26;5.26;5.78
149;28/05/2020;8.09;;5.68;5.68;6.25
150;29/05/2020;8.11;;5.70;5.70;6.27
151;30/05/2020;8.57;;6.01;6.01;6.62
152;31/05/2020;8.11;;5.70;5.70;6.27
153;01/06/2020;8.23;;5.78;5.78;6.35
154;02/06/2020;7.57;;5.32;5.32;5.85
155;03/06/2020;7.29;;5.12;5.12;5.63
156;04/06/2020;8.08;;5.67;5.67;6.24
157;05/06/2020;8.17;;5.73;5.73;6.31
158;06/06/2020;8.11;;5.70;5.70;6.27
159;07/06/2020;6.78;;4.76;4.76;5.23
160;08/06/2020;6.64;;4.66;4.66;5.13
161;09/06/2020;7.77;;5.45;5.45;6.00
162;10/06/2020;6.44;;4.52;4.52;4.98
163;11/06/2020;6.67;;4.68;4.68;5.15
164;12/06/2020;6.27;;4.40;4.40;4.84
165;13/06/2020;6.83;;4.79;4.79;5.27
166;14/06/2020;8.23;;5.78;5.78;6.36
167;15/06/2020;7.38;;5.18;5.18;5.70
168;16/06/2020;7.86;;5.52;5.52;6.07
169;17/06/2020;9.10;;6.39;6.39;7.03
170;18/06/2020;8.13;;5.71;5.71;6.28
171;19/06/2020;7.09;;4.97;4.97;5.47
172;20/06/2020;8.70;;6.11;6.11;6.72
173;21/06/2020;8.65;;6.07;6.07;6.68
174;22/06/2020;8.74;;6.14;6.14;6.75
175;23/06/2020;7.79;;5.47;5.47;6.02
176;24/06/2020;7.30;;5.12;5.12;5.64
177;25/06/2020;7.49;;5.26;5.26;5.79
178;26/06/2020;7.06;;4.95;4.95;5.45
179;27/06/2020;8.21;;5.76;5.76;6.34
180;28/06/2020;8.16;;5.73;5.73;6.30
181;29/06/2020;9.69;;6.80;6.80;7.48
182;30/06/2020;9.33;;6.55;6.55;7.21
183;01/07/2020;7.99;;5.61;5.61;6.17
184;02/07/2020;8.24;;5.78;5.78;6.36
185;03/07/2020;9.02;;6.33;6.33;6.96
186;04/07/2020;8.54;;6.00;6.00;6.60
187;05/07/2020;7.73;;5.43;5.43;5.97
188;06/07/2020;9.05;;6.35;6.35;6.99
189;07/07/2020;8.71;;6.12;6.12;6.73
190;08/07/2020;9.22;;6.47;6.47;7.12
191;09/07/2020;7.55;;5.30;5.30;5.83
192;10/07/2020;8.45;;5.93;5.93;6.53
193;11/07/2020;7.50;;5.26;5.26;5.79
194;12/07/2020;8.57;;6.02;6.02;6.62
195;13/07/2020;9.19;;6.45;6.45;7.10
196;14/07/2020;9.35;;6.57;6.57;7.22
197;15/07/2020;7.28;;5.11;5.11;5.62
198;16/07/2020;8.35;;5.86;5.86;6.45
199;17/07/2020;10.11;;7.10;7.10;7.81
200;18/07/2020;9.79;;6.87;6.87;7.56
201;19/07/2020;9.40;;6.60;6.60;7.26
202;20/07/2020;8.62;;6.06;6.06;6.66
203;21/07/2020;8.71;;6.12;6.12;6.73
204;22/07/2020;8.17;;5.74;5.74;6.31
205;23/07/2020;7.76;;5.45;5.45;5.99
206;24/07/2020;9.81;;6.89;6.89;7.57
207;25/07/2020;10.62;;7.46;7.46;8.20
208;26/07/2020;9.41;;6.61;6.61;7.27
209;27/07/2020;8.67;;6.09;6.09;6.70
210;28/07/2020;8.14;;5.71;5.71;6.29
211;29/07/2020;9.28;;6.52;6.52;7.17
212;30/07/2020;9.17;;6.44;6.44;7.08
213;31/07/2020;8.65;;6.07;6.07;6.68
214;01/08/2020;9.56;;6.71;6.71;7.38
215;02/08/2020;9.89;;6.94;6.94;7.64
216;03/08/2020;10.19;;7.16;7.16;7.87
217;04/08/2020;10.39;;7.29;7.29;8.02
218;05/08/2020;9.09;;6.38;6.38;7.02
219;06/08/2020;9.87;;6.93;6.93;7.62
220;07/08/2020;10.61;;7.45;7.45;8.19
221;08/08/2020;9.56;;6.71;6.71;7.39
222;09/08/2020;9.41;;6.60;6.60;7.27
223;10/08/2020;9.32;;6.55;6.55;7.20
224;11/08/2020;9.90;;6.95;6.95;7.64
225;12/08/2020;7.51;;5.27;5.27;5.80
226;13/08/2020;8.35;;5.87;5.87;6.45
227;14/08/2020;9.71;;6.82;6.82;7.50
228;15/08/2020;10.74;;7.54;7.54;8.29
229;16/08/2020;10.79;;7.58;7.58;8.34
230;17/08/2020;9.47;;6.65;6.65;7.31
231;18/08/2020;10.64;;7.47;7.47;8.22
232;19/08/2020;9.21;;6.47;6.47;7.11
233;20/08/2020;9.33;;6.55;6.55;7.21
234;21/08/2020;8.84;;6.20;6.20;6.82
235;22/08/2020;9.74;;6.84;6.84;7.52
236;23/08/2020;10.97;;7.70;7.70;8.47
237;24/08/2020;10.85;;7.62;7.62;8.38
238;25/08/2020;10.71;;7.52;7.52;8.27
239;26/08/2020;11.16;;7.84;7.84;8.62
240;27/08/2020;10.32;;7.25;7.25;7.97
241;28/08/2020;11.16;;7.84;7.84;8.62
242;29/08/2020;10.96;;7.69;7.69;8.46
243;30/08/2020;11.75;;8.25;8.25;9.08
244;31/08/2020;11.99;;8.42;8.42;9.26
245;01/09/2020;12.43;;8.72;8.72;9.60
246;02/09/2020;11.84;;8.31;8.31;9.14
247;03/09/2020;10.65;;7.48;7.48;8.23
248;04/09/2020;10.16;;7.13;7.13;7.85
249;05/09/2020;9.02;;6.33;6.33;6.97
250;06/09/2020;8.74;;6.14;6.14;6.75
251;07/09/2020;7.97;;5.60;5.60;6.15
252;08/09/2020;9.37;;6.58;6.58;7.24
253;09/09/2020;10.57;;7.42;7.42;8.17
254;10/09/2020;11.52;;8.09;8.09;8.90
255;11/09/2020;9.68;;6.79;6.79;7.47
256;12/09/2020;11.42;;8.02;8.02;8.82
257;13/09/2020;12.01;;8.43;8.43;9.28
258;14/09/2020;11.58;;8.13;8.13;8.95
259;15/09/2020;10.96;;7.70;7.70;8.47
260;16/09/2020;12.54;;8.80;8.80;9.68
261;17/09/2020;12.51;;8.78;8.78;9.66
262;18/09/2020;12.38;;8.70;8.70;9.56
263;19/09/2020;11.49;;8.07;8.07;8.88
264;20/09/2020;11.44;;8.03;8.03;8.83
265;21/09/2020;11.32;;7.95;7.95;8.74
266;22/09/2020;12.11;;8.50;8.50;9.35
267;23/09/2020;10.13;;7.11;7.11;7.82
268;24/09/2020;10.15;;7.13;7.13;7.84
269;25/09/2020;11.43;;8.03;8.03;8.83
270;26/09/2020;10.73;;7.53;7.53;8.29
271;27/09/2020;11.42;;8.01;8.01;8.82
272;28/09/2020;10.18;;7.15;7.15;7.86
273;29/09/2020;10.47;;7.35;7.35;8.08
274;30/09/2020;11.06;;7.76;7.76;8.54
275;01/10/2020;12.23;;8.59;8.59;9.44
276;02/10/2020;11.28;;7.92;7.92;8.71
277;03/10/2020;13.09;;9.19;9.19;10.11
278;04/10/2020;13.46;;9.45;9.45;10.40
279;05/10/2020;13.19;;9.26;9.26;10.18
280;06/10/2020;13.87;;9.74;9.74;10.71
281;07/10/2020;13.49;;9.47;9.47;10.42
282;08/10/2020;13.40;;9.41;9.41;10.35
283;09/10/2020;12.89;;9.05;9.05;9.96
284;10/10/2020;12.48;;8.76;8.76;9.64
285;11/10/2020;13.06;;9.17;9.17;10.08
286;12/10/2020;13.03;;9.15;9.15;10.06
287;13/10/2020;11.96;;8.39;8.39;9.23
288;14/10/2020;12.50;;8.78;8.78;9.66
289;15/10/2020;10.38;;7.29;7.29;8.02
290;16/10/2020;10.70;;7.51;7.51;8.26
291;17/10/2020;11.66;;8.18;8.18;9.00
292;18/10/2020;12.52;;8.79;8.79;9.67
293;19/10/2020;11.36;;7.98;7.98;8.77
294;20/10/2020;11.49;;8.06;8.06;8.87
295;21/10/2020;12.86;;9.03;9.03;9.93
296;22/10/2020;13.27;;9.32;9.32;10.25
297;23/10/2020;12.80;;8.99;8.99;9.88
298;24/10/2020;12.19;;8.56;8.56;9.41
299;25/10/2020;11.45;;8.04;8.04;8.84
300;26/10/2020;11.01;;7.73;7.73;8.50
301;27/10/2020;10.95;;7.69;7.69;8.46
302;28/10/2020;10.72;;7.52;7.52;8.28
303;29/10/2020;11.25;;7.90;7.90;8.69
304;30/10/2020;9.87;;6.93;6.93;7.62
305;31/10/2020;11.48;;8.06;8.06;8.87
306;01/11/2020;11.26;;7.90;7.90;8.69
307;02/11/2020;11.36;;7.97;7.97;8.77
308;03/11/2020;9.84;;6.91;6.91;7.60
309;04/11/2020;9.45;;6.63;6.63;7.30
310;05/11/2020;9.61;;6.75;6.75;7.42
311;06/11/2020;11.44;;8.04;8.04;8.84
312;07/11/2020;12.32;;8.65;8.65;9.52
313;08/11/2020;9.69;;6.81;6.81;7.49
314;09/11/2020;9.52;;6.68;6.68;7.35
315;10/11/2020;7.15;;5.02;5.02;5.53
316;11/11/2020;7.34;;5.16;5.16;5.67
317;12/11/2020;9.14;;6.42;6.42;7.06
318;13/11/2020;9.04;;6.35;6.35;6.98
319;14/11/2020;8.68;;6.09;6.09;6.70
320;15/11/2020;8.26;;5.80;5.80;6.38
321;16/11/2020;6.17;;4.33;4.33;4.77
322;17/11/2020;7.63;;5.35;5.35;5.89
323;18/11/2020;7.29;;5.12;5.12;5.63
324;19/11/2020;7.83;;5.50;5.50;6.05
325;20/11/2020;7.82;;5.49;5.49;6.04
326;21/11/2020;8.42;;5.91;5.91;6.50
327;22/11/2020;9.00;;6.32;6.32;6.95
328;23/11/2020;9.36;;6.57;6.57;7.23
329;24/11/2020;9.58;;6.72;6.72;7.40
330;25/11/2020;9.75;;6.85;6.85;7.53
331;26/11/2020;9.81;;6.89;6.89;7.58
332;27/11/2020;10.12;;7.10;7.10;7.81
333;28/11/2020;8.78;;6.16;6.16;6.78
334;29/11/2020;8.33;;5.85;5.85;6.43
335;30/11/2020;8.84;;6.21;6.21;6.83
336;01/12/2020;6.63;;4.66;4.66;5.12
337;02/12/2020;7.59;;5.33;5.33;5.87
338;03/12/2020;7.15;;5.02;5.02;5.52
339;04/12/2020;8.01;;5.63;5.63;6.19
340;05/12/2020;8.58;;6.03;6.03;6.63
341;06/12/2020;9.37;;6.58;6.58;7.24
342;07/12/2020;10.24;;7.19;7.19;7.91
343;08/12/2020;10.20;;7.16;7.16;7.88
344;09/12/2020;9.22;;6.48;6.48;7.12
345;10/12/2020;9.90;;6.95;6.95;7.65
346;11/12/2020;10.18;;7.15;7.15;7.86
347;12/12/2020;9.61;;6.75;6.75;7.42
348;13/12/2020;10.11;;7.10;7.10;7.81
349;14/12/2020;10.47;;7.35;7.35;8.09
350;15/12/2020;10.86;;7.62;7.62;8.38
351;16/12/2020;10.90;;7.65;7.65;8.41
352;17/12/2020;10.00;;7.02;7.02;7.72
353;18/12/2020;9.06;;6.36;6.36;6.99
354;19/12/2020;8.26;;5.80;5.80;6.38
355;20/12/2020;9.24;;6.49;6.49;7.14
356;21/12/2020;9.74;;6.84;6.84;7.52
357;22/12/2020;10.59;;7.44;7.44;8.18
358;23/12/2020;10.33;;7.25;7.25;7.97
359;24/12/2020;10.05;;7.05;7.05;7.76
360;25/12/2020;8.87;;6.23;6.23;6.85
361;26/12/2020;7.03;;4.93;4.93;5.43
362;27/12/2020;7.85;;5.51;5.51;6.06
363;28/12/2020;10.57;;7.42;7.42;8.16
364;29/12/2020;10.21;;7.17;7.17;7.89
365;30/12/2020;8.35;;5.86;5.86;6.45
366;31/12/2020;1.44;;1.01;1.01;1.11
;;3133.484881;;2200;2200;2420
