;Date;Precipitation;;2020 (Corr);1995;2050
244;31/08/2020;0.00;;0.00;0.00;0.00
245;01/09/2020;0.00;;0.00;0.00;0.00
246;02/09/2020;0.00;;0.00;0.00;0.00
247;03/09/2020;0.00;;0.00;0.00;0.00
248;04/09/2020;0.09;;0.00;0.00;0.00
249;05/09/2020;0.26;;0.00;0.00;0.00
250;06/09/2020;0.65;;0.65;0.65;0.00
251;07/09/2020;4.11;;4.11;4.11;0.00
252;08/09/2020;2.27;;2.27;2.27;0.00
253;09/09/2020;0.04;;0.00;0.00;0.00
254;10/09/2020;0.00;;0.00;0.00;0.00
255;11/09/2020;0.22;;0.00;0.00;0.00
256;12/09/2020;0.02;;0.00;0.00;0.00
257;13/09/2020;0.15;;0.00;0.00;0.00
258;14/09/2020;0.01;;0.00;0.00;0.00
259;15/09/2020;0.00;;0.00;0.00;0.00
260;16/09/2020;0.00;;0.00;0.00;0.00
261;17/09/2020;0.00;;0.00;0.00;0.00
262;18/09/2020;0.00;;0.00;0.00;0.00
263;19/09/2020;0.00;;0.00;0.00;0.00
264;20/09/2020;0.00;;0.00;0.00;0.00
265;21/09/2020;0.00;;0.00;0.00;0.00
266;22/09/2020;0.07;;0.00;0.00;0.00
267;23/09/2020;2.19;;2.19;2.19;0.00
268;24/09/2020;0.07;;0.00;0.00;0.00
269;25/09/2020;0.00;;0.00;0.00;0.00
270;26/09/2020;0.00;;0.00;0.00;0.00
271;27/09/2020;0.05;;0.00;0.00;0.00
272;28/09/2020;0.08;;0.00;0.00;0.00
273;29/09/2020;0.02;;0.00;0.00;0.00
274;30/09/2020;0.04;;0.00;0.00;0.00
275;01/10/2020;0.21;;0.00;0.00;0.00
276;02/10/2020;0.08;;0.00;0.00;0.00
277;03/10/2020;0.01;;0.00;0.00;0.00
278;04/10/2020;0.00;;0.00;0.00;0.00
279;05/10/2020;0.00;;0.00;0.00;0.00
280;06/10/2020;0.00;;0.00;0.00;0.00
281;07/10/2020;0.00;;0.00;0.00;0.00
282;08/10/2020;0.00;;0.00;0.00;0.00
283;09/10/2020;0.00;;0.00;0.00;0.00
284;10/10/2020;0.00;;0.00;0.00;0.00
285;11/10/2020;0.00;;0.00;0.00;0.00
286;12/10/2020;0.04;;0.00;0.00;0.00
287;13/10/2020;2.96;;2.96;2.96;0.00
288;14/10/2020;0.36;;0.00;0.00;0.00
289;15/10/2020;2.98;;2.98;2.98;0.00
290;16/10/2020;0.22;;0.00;0.00;0.00
291;17/10/2020;0.00;;0.00;0.00;0.00
292;18/10/2020;0.00;;0.00;0.00;0.00
293;19/10/2020;0.00;;0.00;0.00;0.00
294;20/10/2020;0.08;;0.00;0.00;0.00
295;21/10/2020;0.01;;0.00;0.00;0.00
296;22/10/2020;0.03;;0.00;0.00;0.00
297;23/10/2020;0.01;;0.00;0.00;0.00
298;24/10/2020;0.00;;0.00;0.00;0.00
299;25/10/2020;0.03;;0.00;0.00;0.00
300;26/10/2020;0.68;;0.68;0.68;0.00
301;27/10/2020;0.64;;0.64;0.64;0.00
302;28/10/2020;1.03;;1.03;1.03;0.00
303;29/10/2020;0.64;;0.64;0.64;0.00
304;30/10/2020;12.08;;12.08;12.08;14.50
305;31/10/2020;6.75;;6.75;6.75;8.10
306;01/11/2020;0.77;;0.77;0.77;0.00
307;02/11/2020;0.00;;0.00;0.00;0.00
308;03/11/2020;0.00;;0.00;0.00;0.00
309;04/11/2020;0.00;;0.00;0.00;0.00
310;05/11/2020;0.00;;0.00;0.00;0.00
311;06/11/2020;0.00;;0.00;0.00;0.00
312;07/11/2020;0.05;;0.00;0.00;0.00
313;08/11/2020;2.58;;2.58;2.58;0.00
314;09/11/2020;11.12;;11.12;11.12;13.34
315;10/11/2020;12.12;;12.12;12.12;14.55
316;11/11/2020;9.95;;9.95;9.95;11.94
317;12/11/2020;8.20;;8.20;8.20;9.84
318;13/11/2020;7.14;;7.14;7.14;8.57
319;14/11/2020;1.74;;1.74;1.74;0.00
320;15/11/2020;7.49;;7.49;7.49;8.99
321;16/11/2020;11.55;;11.55;11.55;13.86
322;17/11/2020;5.69;;5.69;5.69;6.82
323;18/11/2020;12.16;;12.16;12.16;14.59
324;19/11/2020;15.28;;15.28;15.28;18.34
325;20/11/2020;8.96;;8.96;8.96;10.75
326;21/11/2020;1.46;;1.46;1.46;0.00
327;22/11/2020;0.37;;0.00;0.00;0.00
328;23/11/2020;0.09;;0.00;0.00;0.00
329;24/11/2020;0.42;;0.00;0.00;0.00
330;25/11/2020;0.82;;0.82;0.82;0.00
331;26/11/2020;1.66;;1.66;1.66;0.00
332;27/11/2020;1.11;;1.11;1.11;0.00
333;28/11/2020;11.09;;11.09;11.09;13.31
334;29/11/2020;5.63;;5.63;5.63;6.76
335;30/11/2020;7.91;;7.91;7.91;9.49
336;01/12/2020;17.87;;17.87;17.87;21.45
337;02/12/2020;11.04;;11.04;11.04;13.25
338;03/12/2020;4.65;;4.65;4.65;0.00
339;04/12/2020;1.56;;1.56;1.56;0.00
340;05/12/2020;0.13;;0.00;0.00;0.00
341;06/12/2020;0.81;;0.81;0.81;0.00
342;07/12/2020;0.21;;0.00;0.00;0.00
343;08/12/2020;0.46;;0.00;0.00;0.00
344;09/12/2020;1.78;;1.78;1.78;0.00
345;10/12/2020;0.27;;0.00;0.00;0.00
346;11/12/2020;0.36;;0.00;0.00;0.00
347;12/12/2020;0.12;;0.00;0.00;0.00
348;13/12/2020;0.06;;0.00;0.00;0.00
349;14/12/2020;0.10;;0.00;0.00;0.00
350;15/12/2020;0.01;;0.00;0.00;0.00
351;16/12/2020;0.22;;0.00;0.00;0.00
352;17/12/2020;0.91;;0.91;0.91;0.00
353;18/12/2020;0.64;;0.64;0.64;0.00
354;19/12/2020;2.90;;2.90;2.90;0.00
355;20/12/2020;2.77;;2.77;2.77;0.00
356;21/12/2020;0.72;;0.72;0.72;0.00
357;22/12/2020;0.52;;0.52;0.52;0.00
358;23/12/2020;0.58;;0.58;0.58;0.00
359;24/12/2020;0.73;;0.73;0.73;0.00
360;25/12/2020;2.83;;2.83;2.83;0.00
361;26/12/2020;12.58;;12.58;12.58;15.10
362;27/12/2020;3.46;;3.46;3.46;0.00
363;28/12/2020;0.43;;0.00;0.00;0.00
364;29/12/2020;0.07;;0.00;0.00;0.00
365;30/12/2020;0.40;;0.00;0.00;0.00
366;31/12/2020;0.71;;0.71;0.71;0.00
;;1021.61;;1004.389248;;922.9153418
